4FGL-v30,delta,ts,r95,glat,glon,eflux100,nbb,class1,variability,pindex,curvature,e0,sin_b,uw_name,bb_var,association,category
4FGL J0000.3-7355,0.017568492446544244,71.91769124811981,0.047306872724156936,-42.7358274160384,307.73132805565837,9.873368348164499e-13,1,,14.602470397949219,2.08395817,0.21718765139538965,2816.9848670665788,-0.6786190840346606,J0000.1-7354,0.00010749371153906395,unid,unid
4FGL J0000.5+0743,0.06920519521720131,41.81302617653273,0.1426168177581509,-52.96863597805818,101.7113430614156,1.0591642429853845e-12,1,,25.399524688720703,1.0,0.38976123244585104,1468.9258875536025,-0.7983059535837987,J0000.5+0747,-0.0,unid,unid
4FGL J0001.2+4741,0.0187051318817501,44.4471948526334,0.05096120347566691,-14.332097319211913,114.26850021262551,1.2966688844504734e-12,5,bcu,25.313953399658203,2.11424737,0.059840149481749094,2958.943838068265,-0.247541820329863,J0001.3+4741,77.83074755229603,bcu,bcu
4FGL J0001.2-0747,0.0007963001901218854,702.0043524293578,0.023191667147875503,-67.30494106659356,89.03066862497538,6.9671475806770965e-12,2,bll,46.78069305419922,2.07595441,0.03016629938563664,1989.839504122859,-0.9225713657449678,J0001.2-0747,51.54264913825398,bll,bll
4FGL J0001.4-0010,0.01155065050973347,36.64558042061981,0.06303785060076153,-60.480714268452125,96.90122847365092,9.916332148325937e-13,11,bll,9.272764205932617,1.99658721,0.08049719395183397,3623.290189500836,-0.8701898971066189,J0001.4-0009,147.88205977129195,bll,bll
4FGL J0001.5+2113,0.02142085306593397,3947.423695140402,0.02863601264824281,-40.1562990773529,107.67312314394275,2.2471449076915926e-11,43,fsrq,1910.935791015625,2.63434403,0.14843194057343467,392.9732489159406,-0.644874933717616,J0001.5+2114,3697.8904022428114,fsrq,fsrq
4FGL J0001.6+3503,0.013973414154074885,69.92632854008116,0.07747608041071141,-26.724051910432216,111.54062275865284,1.4045645654286094e-12,1,,7.702315807342529,1.06447345,0.363395120898824,1449.610120608433,-0.4496939829491588,J0001.6+3502,9.428709745407104e-06,unid,unid
4FGL J0001.6-4156,0.027684125550887936,310.0583832777338,0.03002092848171724,-72.0194061777605,334.3110360732443,3.221130484002828e-12,1,bcu,26.393342971801758,1.63476714,0.12869268465517947,4540.81717190583,-0.9511611263215454,J0001.5-4156,-0.0,bcu,bcu
4FGL J0002.1-6728,0.016213780501960668,244.52756880712693,0.025924551137907478,-48.975639817792334,310.06861925396555,2.2563038896276933e-12,1,bll,12.530725479125977,1.72730821,0.15033245242077053,4664.390368648598,-0.7544305784281694,J0002.2-6727,-0.0,bll,bll
4FGL J0002.1+6721c,0.05145049141744421,100.09956386126578,0.10815921725107508,4.902301960203929,118.23918173473562,5.099815502460396e-12,7,unk,10.41150188446045,2.6382715,0.3700620975956692,1348.986671707162,0.08545695301897778,J0002.6+6719,113.1415638749217,other,
4FGL J0002.3-0815,0.011853004278927793,40.26097403495805,0.05975337174212859,-67.83741238186514,89.05567810275664,1.2558031258310192e-12,1,bcu,13.014214515686035,2.17417962,0.01751175758708534,3513.717521161435,-0.9261171058244214,J0002.3-0815,-0.0,bcu,bcu
4FGL J0002.4-5156,0.027465758752728848,29.910215859883465,0.09095873943919067,-63.52621944671386,319.9449387282037,6.196818500003456e-13,1,bcu,17.686309814453125,1.62833986,0.44076517882565835,7169.921942055049,-0.8951384550024863,J0002.5-5157,-0.0,bcu,bcu
4FGL J0002.7+7220,0.04821805348251267,34.88090212317184,0.08129870270401254,9.781711191092153,119.20072850940672,1.0122456038561726e-12,1,spp,14.036659240722656,2.13829476,0.7008416752369073,4583.409242630018,0.16989494836626812,J0002.7+7217,-0.0,other,
4FGL J0002.8+6217,0.0052264966267667485,1400.080723571591,0.028683858774394298,-0.05378429287410827,117.32485489452148,1.6184398122643483e-11,2,PSR,13.166126251220703,1.04464248,0.4329964673806086,1603.933650429845,-0.0009387128586472727,J0002.9+6217,12.660192557610571,psr,psr
4FGL J0003.1-5248,0.01613455960902437,347.679407206364,0.02279440824920786,-62.79473865735121,318.95696166378804,3.2497660444987577e-12,3,bcu,7.998425483703613,1.70382294,0.0739373000305188,5080.64081104608,-0.8893743952662062,J0003.2-5248,29.236254360076757,bcu,bcu
4FGL J0003.2+2207,0.09617025136803128,53.92238309199456,0.08867139034537434,-39.42813408552907,108.54688585128774,8.798200141559387e-13,1,bll,12.451855659484863,1.94196344,0.6671869402064823,3573.022293508561,-0.6351098739062847,J0003.6+2206,-0.0,bll,bll
4FGL J0003.3+2511,0.07969198009166896,118.72328421333803,0.07735136536571442,-36.47938688025708,109.32978711151212,2.36965559290274e-12,3,,7.732497692108154,2.34765917,0.15634296034978679,1222.0470123651355,-0.5945335472456493,J0003.2+2506,31.62549313826662,unid,unid
4FGL J0003.3-1928,0.0172573615708587,252.08818748232443,0.04998083205236163,-76.58433792180443,65.12482958386992,2.2199312798069567e-12,3,bcu,49.87993621826172,2.01853477,0.3850725687347789,1409.7726194026434,-0.9727124924566094,J0003.3-1928,25.94473980599537,bcu,bcu
4FGL J0003.3-5905,0.014476532150322319,42.40889260557015,0.07142301945581186,-56.959750956405756,314.2149928534716,6.477989213498889e-13,1,bcu,10.148149490356445,1.1450353,0.25790689458493055,3318.300282145085,-0.838287763924496,J0003.4-5906,-0.0,bcu,bcu
4FGL J0003.5+0717,0.009680800162217087,50.61509225389455,0.08577228215368295,-53.66413773747703,102.59316303712792,1.7441063006495109e-12,1,bcu,10.951772689819336,2.41773549,0.07607943291870756,1230.2936168334625,-0.8055575747365629,J0003.5+0718,0.00012527405033324612,bcu,bcu
4FGL J0003.6+3059,0.024521085329975535,189.40316019277088,0.0536645301667137,-30.789387064030958,111.02460403883649,1.6228596227242648e-12,1,,5.092974662780762,2.06721962,1.0001136677581846,1864.935113243116,-0.511883750364949,J0003.7+3058,-0.0,unid,unid
4FGL J0003.9-1149,0.013053812231620911,174.74186966690468,0.04114111829323102,-71.0649460586675,84.62069855779725,2.369707565785779e-12,1,bll,7.357996463775635,2.15052232,0.12668063257206263,1740.6866019219017,-0.9458870069323988,J0003.9-1148,-0.0,bll,bll
4FGL J0004.0+5715,0.04516425444194514,131.8982106705662,0.048763456700303576,-5.066649560582885,116.51519951845789,4.983809047686993e-12,1,,12.611353874206543,2.53338041,0.10980989760581705,1113.1295521708823,-0.08831451126192143,J0003.9+5712,0.00011252984404563904,unid,unid
4FGL J0004.0+0840,0.041044563309850554,46.78997941955458,0.06823630553530172,-52.356838839227436,103.4930543937763,9.202685991673452e-13,3,bll,15.305800437927246,1.96480401,0.3143061381942258,3693.333530715228,-0.7918297935844504,J0003.9+0842,24.332458960051333,bll,bll
4FGL J0004.3+4614,0.004206441454538423,390.4626079268055,0.04869316693161778,-15.850879028854608,114.49021730485563,6.883760456727013e-12,5,fsrq,139.03675842285156,2.57859225,0.027416769041221922,540.8101551600435,-0.27313459547783214,J0004.3+4614,186.81190429592607,fsrq,fsrq
4FGL J0004.4-4737,0.010690418771459417,475.2075503141386,0.0373364098064874,-67.54837726324044,323.9905217523623,4.312620675241315e-12,13,fsrq,153.28648376464844,2.26613505,0.11278699349144272,947.102876733106,-0.924202319045638,J0004.4-4736,316.37502848044556,fsrq,fsrq
4FGL J0004.4-4001,0.010284112223539832,174.74030005466193,0.05430294985417921,-73.83552531333956,336.98038869919503,3.5111109916745957e-12,4,,35.72807312011719,2.67223009,-0.09858714889454667,611.0738090353625,-0.9604664849610836,J0004.4-4002,40.660133651752375,unid,unid
4FGL J0005.6+6746c,0.07787614039289294,31.64643679978326,0.10951489569910916,5.207400149881585,118.63045284237597,1.82993115513566e-12,0,,14.458280563354492,2.46720044,0.4311416967106574,2272.55475242341,0.0907612048634044,J0006.0+6741,132.75698376030206,unid,unid
4FGL J0005.9+3824,0.03526327223828052,235.34856441104785,0.0759777859105278,-23.647543381388825,113.24163233132703,4.709643633326603e-12,9,fsrq,41.21147537231445,2.67023892,0.19626069773940324,790.3019463292436,-0.40110928193368295,J0006.0+3822,176.54389234032396,fsrq,fsrq
